Domain,Tier,Why,Id,Kind,DisplayName,Intel
"telus.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77871","Buyer","TELUS / Westbank — 111 East 5th Ave M3 (Mount Pleasant DC)","0"
"rbcm.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","245","Buyer","Ministry of Citizens' ServicesRoyal British Columbia Museum","7"
"rbcm.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","54750","Buyer","Royal British Columbia Museum","4"
"rbcm.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69230","Developer","Royal BC Museum","0"
"squamish.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","313","Buyer","District of Squamish","11"
"squamish.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54115","Developer","Forsite Developments","0"
"rharchitects.ca","R3","no name carries the domain brand","26929","Architect","Rositch Hemphill Architects","7"
"rharchitects.ca","R3","no name carries the domain brand","77818","Architect","Rositch Hemphill Architects (RHA)","4"
"ivanhoecambridge.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","38947","Developer","La Caisse (CDPQ)","6"
"ivanhoecambridge.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","75778","Buyer","Ivanhoé Cambridge","5"
"tseshaht.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","55001","Developer","Tsuma-as Housing Society","4"
"tseshaht.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","66236","Buyer","Tseshaht First Nation","7"
"nelson.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","579","Buyer","City of Nelson","9"
"nelson.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39021","Vendor","ConversArt","1"
"portmoody.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18833","Buyer","City of Port Moody","10"
"portmoody.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39042","Developer","(E) Canadian Accessiblity Standards Development Organization","0"
"calgarymlc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","53614","Developer","Calgary Municipal Land Corp. (CMLC)","5"
"calgarymlc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","74161","Buyer","Calgary Municipal Land Corporation","5"
"colwood.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54057","Developer","Purcell Green Power Inc.","0"
"colwood.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69085","Buyer","City of Colwood","10"
"kfnecdev.ca","R3","no name carries the domain brand","69398","Developer","K'ómoks Economic Development Corporation","4"
"kfnecdev.ca","R3","no name carries the domain brand","75946","Developer","K'ómoks Economic Development Corporation (KEDC)","6"
"invermere.net","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","574","Buyer","District of Invermere","9"
"invermere.net","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","55021","Developer","Musqueam Capital Corporation + Polygon Homes","0"
"centralsaanich.ca","S2","only some names carry the domain brand (initialism/rename shape)","18854","Developer","District of Central Saanich","9"
"centralsaanich.ca","S2","only some names carry the domain brand (initialism/rename shape)","68807","Developer","NAIT","0"
"comox.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18909","Buyer","Town of Comox","9"
"comox.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","68823","Developer","Beacon","0"
"vcc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","18919","Buyer","Vancouver Community College","9"
"vcc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","54975","Client","Vancouver Community College + Langara College (combined)","0"
"parksville.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39034","Vendor","Canadian Hearing Services","1"
"parksville.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69481","Buyer","City of Parksville","8"
"sidney.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54113","Developer","Sequoia Springs","0"
"sidney.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69209","Buyer","Town of Sidney","9"
"campbellriver.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","55018","Developer","Nch'ḵay̓ West (Nch'ḵay̓ Development Corp + OPTrust)","0"
"campbellriver.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69046","Buyer","City of Campbell River","9"
"mmpengineering.com","S2","only some names carry the domain brand (initialism/rename shape)","68743","Competitor","MMP Structural Engineering","5"
"mmpengineering.com","S2","only some names carry the domain brand (initialism/rename shape)","75679","Competitor","MMP Engineering Ltd. (operating as MMP Structural Engineering)","4"
"khowutzun.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69186","Developer","Khowutzun Development Corporation","9"
"khowutzun.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77707","Buyer","Khowutzun Development LP (KDLLP) — Cowichan Tribes","0"
"mcmparchitects.com","R3","no name carries the domain brand","69589","Architect","Musson Cattell Mackey Partnership","6"
"mcmparchitects.com","R3","no name carries the domain brand","77714","Architect","MCM Architects (Musson Cattell Mackey)","3"
"tsawwassenfirstnation.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","53989","Buyer","Tsawwassen First Nation","6"
"tsawwassenfirstnation.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","54987","Developer","Tsawwassen Economic Development Corporation","2"
"mstdevelopment.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","54982","Developer","MST Development Corporation","5"
"mstdevelopment.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77426","Buyer","MST Development Corporation (Musqueam, Squamish, Tsleil-Waututh)","3"
"nchkay.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","54983","Developer","Nch'ḵay̓ Development Corporation","8"
"nchkay.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77706","Buyer","Nch'kaỷ Development Corporation","0"
"kdassociates.com","R3","no name carries the domain brand","68749","Competitor","Kassian Dyck & Associates Engineering","4"
"kdassociates.com","R3","no name carries the domain brand","75677","Competitor","Kassian Dyck & Associates","4"
"jckenyon.com","S2","only some names carry the domain brand (initialism/rename shape)","68755","Competitor","JCK Engineering Inc.","4"
"jckenyon.com","S2","only some names carry the domain brand (initialism/rename shape)","75676","Competitor","JCK Engineering Inc. (also known as JC Kenyon Engineering Inc.)","4"
"whmengineers.com","R3","no name carries the domain brand","69332","Competitor","WHM Structural Engineers","8"
"whmengineers.com","R3","no name carries the domain brand","77756","Competitor","Wicke Herfst Maver Structural Engineers (WHM)","0"
"tcenergy.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","53741","Developer","NOVA Gas Transmission Ltd.","0"
"tcenergy.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69723","Buyer","TransCanada Corp.","7"
"csf.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","53773","Buyer","SD93 Conseil Scolaire Francophone","7"
"csf.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","68728","Developer","developer (confirm)","0"
"bgo.com","S2","only some names carry the domain brand (initialism/rename shape)","53786","Developer","Bentall Corp.","0"
"bgo.com","S2","only some names carry the domain brand (initialism/rename shape)","54818","Developer","BGO","7"
"fortisbc.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54070","Developer","Yrainucep Development Corp.","0"
"fortisbc.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69716","Buyer","Fortis BC Inc.","7"
"aecon.com","R2","a member is JV/composite-shaped","54931","GC","Aecon Group Inc.","7"
"aecon.com","R2","a member is JV/composite-shaped","77916","GC","Stuart Olson / Aecon Buildings","0"
"tndc.ca","S2","only some names carry the domain brand (initialism/rename shape)","69411","Developer","Tahltan Nation Development Corporation","3"
"tndc.ca","S2","only some names carry the domain brand (initialism/rename shape)","75955","Developer","Tahltan Nation Development Corporation (TNDC)","4"
"ecuad.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54067","Developer","Chris Clement Group","3"
"ecuad.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","70291","Buyer","Emily Carr University of Art and Design","3"
"katzie.ca","S2","only some names carry the domain brand (initialism/rename shape)","54988","Developer","EPTA Development Corporation","4"
"katzie.ca","S2","only some names carry the domain brand (initialism/rename shape)","54989","Developer","Katzie First Nation Affordable Housing Development Society","2"
"weiwaikum.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","55007","Developer","Wei Wai Kum Development","2"
"weiwaikum.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69363","Buyer","Wei Wai Kum First Nation","4"
"nitinaht.com","R3","no name carries the domain brand","69399","Developer","Ditidaht Economic Development Corporation","3"
"nitinaht.com","R3","no name carries the domain brand","75947","Developer","Ditidaht Economic Development Corporation (DEDC)","3"
"powellriver.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18834","Buyer","City of Powell River","4"
"powellriver.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39043","Vendor","Plain Language Wizardry","1"
"equilibrium-eq.com","R3","no name carries the domain brand","38925","Competitor","Equilibrium Consulting Inc.","5"
"equilibrium-eq.com","R3","no name carries the domain brand","77718","Competitor","EQUILIBRIUM Structural Engineering","0"
"northernhealth.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39029","Vendor","Converge Accessibilty LLC","1"
"northernhealth.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54062","Developer","Pan Pacific Aggregates Ltd.","0"
"northernhealth.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54710","Buyer","University Hospital of Northern British Columbia (UHNBC)","0"
"northernhealth.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77389","Buyer","Northern Health Authority","4"
"sd53.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39063","Vendor","Scribewire Inc.","1"
"sd53.bc.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69569","Buyer","SD53 Okanagan Similkameen School District","4"
"svengineering.ca","S2","only some names carry the domain brand (initialism/rename shape)","69163","Competitor","Structura Vision Engineering Inc.","2"
"svengineering.ca","S2","only some names carry the domain brand (initialism/rename shape)","77344","Competitor","SV Engineering (Structura Vision)","3"
"site.buepoint.net","R3","no name carries the domain brand","70720","Competitor","Bluepoint Consulting Ltd","2"
"site.buepoint.net","R3","no name carries the domain brand","70751","Competitor","Buepoint Consulting Structural Engineers","3"
"qualicumbeach.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18821","Buyer","Blind Bogey Drive, Qualicum Beach (Qualicum Beach (Town))","0"
"qualicumbeach.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18844","Buyer","Contract Admin & Project Management (Qualicum Beach (Town))","0"
"qualicumbeach.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18872","Buyer","Little Qualicum River Erosion Protection (Qualicum Beach (Town))","0"
"qualicumbeach.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18887","Buyer","Qualicum Beach (Town)","2"
"qualicumbeach.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18903","Buyer","Street Line Painting (Qualicum Beach (Town))","0"
"qualicumbeach.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18911","Buyer","Town of Qualicum Beach","0"
"qualicumbeach.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54109","Developer","Westscapes Developments","2"
"trail.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18839","Buyer","City of Trail","2"
"trail.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54117","Developer","Hills Health and Guest Ranch Ltd.","2"
"jdarch.ca","R3","no name carries the domain brand","24218","Architect","Johnston Davidson Architecture and Planning Inc.","3"
"jdarch.ca","R3","no name carries the domain brand","77704","Architect","Johnston Davidson Architecture (JDa)","1"
"golden.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54074","Developer","Highland Valley Copper Corporation","4"
"golden.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69061","Buyer","Town of Golden","0"
"buehlerengineering.com","S2","only some names carry the domain brand (initialism/rename shape)","76825","Competitor","Buehler Engineering (Buehler & Buehler)","2"
"buehlerengineering.com","S2","only some names carry the domain brand (initialism/rename shape)","77212","Competitor","Buehler & Buehler Structural Engineers","2"
"princerupert.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","18835","Buyer","City of Prince Rupert","2"
"princerupert.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39044","Vendor","Cominar","1"
"nlsd.ab.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","633","Buyer","Northern Lights School Division","2"
"nlsd.ab.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","55033","Developer","AgeCare","0"
"pne.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","22079","Buyer","Pacific National Exhibition","2"
"pne.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54103","Developer","Paul Gaskin","0"
"aquilinidevelopment.com","S2","only some names carry the domain brand (initialism/rename shape)","53876","Developer","Aquilini Development and Construction Inc.","2"
"aquilinidevelopment.com","S2","only some names carry the domain brand (initialism/rename shape)","54037","Developer","Renascence Development Corp.","0"
"aquilinidevelopment.com","S2","only some names carry the domain brand (initialism/rename shape)","77720","KorClient","Aquilini Development","0"
"lheidli.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","55004","Developer","Tano T'enneh Enterprises","2"
"lheidli.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","69498","Buyer","Lheidli T'enneh First Nation","0"
"laxkwalaams.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","55005","Developer","Lax Kw'alaams WAAP Housing Society","2"
"laxkwalaams.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77864","Buyer","Lax Kw'alaams Band","0"
"ladysmith.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39006","Vendor","A.C. Consulting Solutions Inc.","1"
"ladysmith.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69480","Buyer","Town of Ladysmith","0"
"pemberton.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","54104","Developer","Westhills Land Corp.","0"
"pemberton.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","69493","Buyer","Village of Pemberton","0"
"portofportland.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","68717","Developer","Port of Portland","0"
"portofportland.com","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","77900","Government","Portland International Airport / Port of Portland (PDX)","0"
"castanet.net","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77820","Developer","Lake Country Highway 97 Hotel + Residential (unnamed developer)","0"
"castanet.net","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77906","Government","City of Vernon — RCMP Detachment Modernization","0"
